class,khaiii_text
협박 대화,돈 있 안 갚 펑펑 쓰 다니 말 있 정말 살 힘들 알 이러 정말 죽 상황 생각 지금 뛰어내리 있 소리 손목 콱 긋 소리 하 오
직장 내 괴롭힘 대화,왜 그러 팀장 사장 새끼 같 그러 모르 새끼 짜증 그렇 정 대리 마찬가지 마찬가지 병신 같 왜 그러
직장 내 괴롭힘 대화,미주야 업무 좀 보 미주야 업무 도와주 미주야 오늘 발표 좀 하 자료 오타 수정 결재 올리 미주야 다 어머 시절 더 많이 하 맞 맞 호호 껌 너무 많 같 일 선배 부탁 토 도 다 라테
갈취 대화,친한 척 따라오 지금 가지 다 내 보 지금요 지금 내일 가지 거짓말 다시 기회 줄 꺼내 진 짜 없 진짜 알
갈취 대화,모으 돈 돈 가져가 빌리 하 잖 저번 사업 먹 절대 안 되 엄마 아들 못 믿 제발 정신 차 이리 전 부 전 돈 있 새벽 시장 나가 관절 다 망가져 모으 돈 빨리 내놓
협박 대화,시험 다시 보 안 이유 있 원칙 지키 하 시험 진짜 중요 시험 못 보 죽 마찬가지 아무리 시험 중요 목숨 같 얼른 위험 내려오 말씀 드리 시험 못 보 죽 마찬가지 시험 다시 못 보 그냥 떨어지 이상 소리 하 다시 잘 생각 나중 후회 일 있 다시 시험 보 얼른 시험 다시 보 하 진정 선생 시험 다시 보 안 하 떨어지 거 마음 안 변하 얼른요 원칙 원칙
갈취 대화,돈 마련 아직 약속 안 지키 하 미안 시간 부족 시간 남 도 미안 오 어렵 어떻 다음 주 가져올 금 필요 제발 보
직장 내 괴롭힘 대화,일 그렇 하 어제 말씀 그렇 시키 돌 뚫리 입 소리 지껄이 시키 잘못 없 말 잘못 나오 눈치 있 알 못 상사 속 뒤집 말씀 없
기타 괴롭힘 대화,사장 오 일 음식 먹 만들 겁 문제 있 너무 세 냄새 나 도저히 먹 없 손 다시 하 드리 이미 밥맛 떨어지 다시 먹 겁 금방 맛있 드리 되 계산 못 그렇 알 손 거지 다 드 같 맛대가리 없 음식 먹 입맛 버리 손 계산 하 주 하 겁 계산 못 가 이러 경찰 신고 없 니 신고 양반 장난 하 한 신고 손 서로 이러 계산 가게 망하 열심히 인터넷 까발리 보
협박 대화,맞 제발 살리 갈비뼈 나가 정신 차리 안 망치 제발 버리 망치 죽이 제발 살리 갈비뼈 부 지 죽 제발 살리 상해 입 지 살리
갈취 대화,돈 있 좀 다 주 다예 거짓말 마 거짓말 다예요 찾 나오 어떡하 상 안주머니 보 보 집 가 버스비 집 가 말 알 내놓 꼭 필요 되 그냥 돈 다 내놓 알
협박 대화,말 우습 장난 같 집안 엉망진창 하 있 고치 말 고치 하 벌써 째 면목 없 다 있 엄마 다리 분지르 보 때 보이 대체 애새끼 교육 시키 알아듣 알
갈취 대화,아들 보 편의점 가 구글 기프트 구매 일 아들 데리 사람 구글 기프트 편의점 가 원권 사 서 스크래치 긁 서 사진 찍 보내 장난치 아들 죽 잠 시
협박 대화,다가오 마 더 다가오 찌르 살리 진정 무기 내려놓 진정 얘 사기 얼 만 데 선생 잘못 꼭 보상 이렇 선생 힘들 어 어서 무기 내려놓 개소리 집어치우 오늘 얘 죽이 죽 멈추 선생 쏘 없 쏘 쏘 보 다 죽 제발 살리
갈취 대화,저번 있 이후 몸 안 좋 병원 가 병 걸리 병 많이 아프 어떡하 지금 가 오지 마 성병 걸리 니 빨리 치료비 보내 깨지 생기 소리 진단서 처방전 보내 증거 있 치료비 주 안 믿 먼저 병 걸리 하 증거 있 수치 증거 못 주 그냥 말 믿 보내 말 믿 보내 달 전 검사 때 이상 없 달 지나 생기 있 되 웃기 빨리 보내 안 페북 글 쓰 같 돈 보내 하 근거 대 믿 보내 페북 글 쓰 돈 선택 자존심 선택 래 하 진짜 그냥 돈 보내주 빠르 시일 안 보내 갑자기 되 돈 더 들 알 미리 받 안 되 하 빨리 보내
기타 괴롭힘 대화,할아버지 담배 갑만 사 예끼 어른 심부름 시키 민짜 안 뚫리 좋 말 때 사 좋 말 늙 힘 없 주제 심부름값 드리 할아버지 화 내 진정 그러 골 가시 빨리 저승길 가 전 담배 값 사
협박 대화,마시 편하 죽 있 살리 죽을죄 짓 이제 살아가 없 다시 실수 사과 죽 사람 하 되 살리 마시 죽 왜 그렇 똑같이 죽 싫
협박 대화,말씀 자료 구하 수고 말씀 다입 다 마무리 딸 풀 하 사정 생기 말 무 일 그렇 되 더 도와줘 말 믿 있 같 믿 안 믿 중요 딸 목숨 우선
갈취 대화,공책 다 쓰 말 공책 빌리 있 미안 필기 다 되 장난 부탁 명령 동생 학교 다니 동생 망치 내놓 돌리 꺼지
갈취 대화,친구 저번 돈 빌리 너무 고맙 오늘 깜빡 지갑 안 가져오 미안 더 빌리 오늘 돈 없 에이 거짓말 치 마 오늘 반티 살 돈 걷 날 돈 가져오 안 되 반티 값 내 되 좋 말 그냥 주 피곤
직장 내 괴롭힘 대화,요즘 신입 왜 이래 선배 어려워 요즘 다 말대답 하 생각 다르 있 진짜 때 하 안 그 렇 이제 시대 변하 지금 말대답 꼬박꼬박 하 어우 열불 죽 위아래 다 치이 팔자 유감
갈취 대화,형 가방 두 가지 이 보 돈 이러 사기도박 돈 따 곱 가져가 사기도박 절대 손기술 쓰 다 보 이 보 이러 맞 얌전히 돈 두 꺼지 그렇 안 되 제발 어 허 빨리
협박 대화,누나 좋아하 누나 지나가 때 음흉 눈 치켜뜨기 모르 없 늘 사람 친절 누나 못생기 못나 친절 딱히 의미 있 누나 좋아하 마음 정리 좀 하 사람 마음 그렇 칼 자르 쉽 정리 알 정리 얼른 해 같 새끼 누나 좋아하 너무 소름 끼치 얼른 정리 안 하 알 성격 모르 사람 없 학년 하 모르 뒤지 맞 싫 빠르 시일 정리 알
직장 내 괴롭힘 대화,어머 사원 그렇 안 보 대박이 얘기 계세 어머 얘기 여 공기 안 좋 사원 그러 다니 되 꼴불견 알 어머 그러 마 가 미안 잘못 되
갈취 대화,아빠 전과자 중요 아빠 범죄 자 중요 아빠 세상 사연 없 사람 있 비밀 하 비밀 대신 신 고 운동화 래 할머니 사 전과자 딸 신기 너무 같 대신 게
협박 대화,뒤지 시키 안 하 덜 처 맞 사람 여럿 찌르러보 말 하 말 토 달 하 동생 좋 회사 다니 송 하 동생 같 날 제삿 만들 잘 동생 건들 명령 진짜 뒤지 보다
협박 대화,사람 신장 없 살 있 갑자기 얘기 신장 없 살 있 하 굳이 필요 하 지금 하 말 어차피 사정 이렇 되 떼 돈 벌 오 좋 그러 위하 음 쉽 설명 정 갖 알 중요 이제 막 걷 시작 새끼 있 다 알 애 손대 마 제발 하 돈 구하 올 너무 오래 기다리 그냥 쉽 가 잠 깐 자 일어나 다 끝나 있 놓 싫 지금 하
갈취 대화,정한 오늘 배고프 그러 나가 밥 먹 급식 진짜 맛 없 오 늘 그러 오늘 돈 가져오 아까 없 하 같 맞 돈 없 오늘 밥값 주 머 돈 빌리 하 그렇잖 미안 돈 없 하루 내주 진 짜 파스타 먹 말 파스타 너무 비싸 돈 없 친구 파스타 먹 빌리 어렵 하루 내 살 전 그러 지금 돈 안 갚 이번 갚 맛있 살 오늘 사 라 마지막
기타 괴롭힘 대화,때리 똑같 신발 신 오 말 하 미안 오늘 신 올지 모르 매일 아침 말 앞 안 그럴 꼭 조 같 인간 엮이 자체 구역 대 체 이러 거울 보 와라 냄새나 못생기 주제 파악 못 하 말 너무 심하 같 반 회장 친구 다 챙기 역할 친구 다 챙기 역할 맞 같 친구 두 없
갈취 대화,꼬맹이 일 오 보 내 저 사람 있 그러 돈 얼마 있 돈 없 안 맞 이러 주머니 돈 보 제발 요 돌리 주
협박 대화,하 새끼 미안 말 미안 다 짜증 나 네 약점 다 소 문내 안 제발 뒷감당 알 하 보 안 싫 왜 미안
직장 내 괴롭힘 대화,김 대리 보게 과장 김 대 리 대체 부하 직원 관리 하 일 이번 새로 들어오 사원 하 꼬락서니 그렇 치 대체 지각 아래 직원 교육 똑바로 안 시키 다음 계속 다치 알 과장 제대로 교육 하여튼 잡 나오 뽑 하 짓 하 쯧쯧
협박 대화,되 엄마 수술 되 엄마 이제 괜찮 하 보 많이 좋 굳이 수술 하 필요 없 보이 누나 정하 누나 의사 병원 가 정밀 검사 받 하 크 병 어쩌 늙 몸 성 하 사람 수술 어쩌 주 수술비 어쩌 급하 급하 하 돈 다 빼 주 있 급하 곳 쓰 급하 곳 쓰 엄마 모시 살 돈 나 곳 급하 곳 돈 쓰 말 알 못 보 누나 명품 사 내놓 알 원래 있 들 그러 인간 돈 밤낮 잠 못 자가 벌 돈 엄마 수술 비 하 다 빼 주 가방 치 살 쓰 시끄럽 바쁘 가 하 이성 잃 같 죽 같 살 가치 없 죽 왜 이러 미치 이제 도저히 못 참 번째 짓 거리 못 그냥 병신 만들 낫 다 다리 부러뜨리 밖 안 싸돌아다니 발목 아주 자르 주변 흉기 찾 미 미치 왜 이렇 흥분 공구 있 망치 들 오늘 가만 안 두 미치 팔다리 없애
협박 대화,아빠 아빠 이렇 눕 있 미안 아들 아빠 되 아들 이렇 고생 이렇 간호 죽 살 모르 애초 죽 확률 더 높 언 짓거리 계속 환멸 아들 아무리 힘들 아비 너무 눕 있 듣 말 먹 말 하 힘들 키우 되 진 짜 지겹 죽 없 조용히 죽 산소호흡기 버리 보험료 나오 일석 이 조 일상 편하 아들 엄마 아빠 말버릇 힘들 자격 엄마 야 단치 열 받네 엄마 아빠 옆 잘 돌보 좋 죽이 잘 보 원래 애 엄마 정말 얼굴 치 다 떨리 이러 정신 차 애 들 애 들 원래 관심 없 그러 다 힘들 상황 오 관심 갖 가 아주 엄마 잠들 아빠 죽이 각오 아들 제발 엇나 간호 말 안 하 아비 수명 다 하 때 살 제발 비 리 보 보 아빠 이기 수명 다 하 때 그때 버티 수명 정하
갈취 대화,돈 없 없 아르바이트 비 받 있 쓰 없 그때 보 현금 꿍치 덩 숨기 집 이렇 개판 만들 돈 있 없 그렇 있 못 주 돌 전 내놓 숨기 동네 사람 다 나오 내놓 제발 도와주 있 진 짜 지 긋지 긋
갈취 대화,버스비 없 그러 빌리 돈 빌리 냐 달 하 맞 있 버스비 없 빌리 돈 없 돈 많잖 진 짜 돈 없 버스카드 있 있 있 많 빌리 빌리 친구 빌리 지 알
갈취 대화,매일 만들 하 미안 돈 없 돈 없 다 만들 올해 용돈 다 미리 받 안 내년 용돈 미리 받 미안 보 주변 안 내일 안
협박 대화,지금 상황 머리 안 돌아가 알아내 문제 행동 정말 웃 웃기 안 따라오 말 하 아 같 정신 차리 하 하 끌려가
갈취 대화,오빠 이렇 있 말 숫 오빠 모르 같 어제 술 먹 짓 하 어제 숫 어 제 먼저 좋아하 잇 술 먹 취하 기억 못 하 알 그러 오빠 진짜 나쁘 사람 숫 진정 어제 분명 좋 좋 하 만나 되 오빠 오빠 성폭행 고소 성폭행 진짜 미치 고소 당하 싫 조용히 선 끝내 합의금 정도 있 많이 안 바 라 주 이러 어제 연락 못 주 오빠 오빠 평생 부모 사람 성폭 행범 소리 듣 하 조용히 끝내 시간 알 해
직장 내 괴롭힘 대화,새끼 일로 바 일병 보 이미 노래방 청소 담당 네 주방 청소다 이미 하 내일 그러 담당 주방 지금 이미 노래방 하 병장 대들 취사 오 힘들 어이없 내일 하 병장 보이 뒤지
갈취 대화,민수야 수술비 필요 그러 빌리 있 안 다음 달 용돈 받 전 힘들 수술 돈 없 정말 미안 돈 진 짜 없 돈 없 수술 하 빌리 미안 너무 수술 병원비 없 수술 못 잡 도와주 있 수술비 보태 벼터 퇴원 일 갚 되 빌리 빨리 수술 되
기타 괴롭힘 대화,할인 상품 할인 상품 소리 어제 되 어제 행사 지금 손 보 안 방침 서비스 이러 되 권한 점장 알바 관리 이렇 하
협박 대화,예쁘 손가락 없 리 그리 사람 손 생명 그러 좋 얘기 때 알아들 손가락 가지 있 지금 하 작품 마무리 하 없 하루 손가락 사라지 생각 최대한 노력 빨리 끝내 손가락 발가락 범위 늘리 기억 기억 속 치 믿 매일 진행 상황 보고 보 드리
협박 대화,이빨 못 쓰 뽑 그러 왜 길 하 짓거리 거슬리 참 있 밑 끝 없이 왜 그러 진정 진정 마음 새끼 거슬리 맘 말씀 너무 심하 입 거슬리 이빨 뽑 밥 못 먹 말 힘 없 낄낄 신고 신고 전 강냉이 털리 괜찮 소리 듣 이유 없 하 제발
기타 괴롭힘 대화,요즘 여자 만나 밥 차리 요즘 연락 오 보 여자 있 같 진짜 의심 전 있 일 실수 하 지겹 진 짜 미안 하 의심 전 거울 보 꼬락서니 그러 애 낳 뒤룩뒤룩 살 찌 여자 맞 애 키우 신경 못 쓰 제발 신경 써라 아줌마 아줌마 이러 여자 보이
협박 대화,배신 되 더 잘 알 실수 실수 목숨 내놓 하 정말 모르 형 고의 들 실수 배신 애 사람 취급 안 하 말 하 되 하 앞 다시 배신 의미 한쪽 내놓 되 실수 배신 맞 다시 그러 팔 내놓 내놓 살리
갈취 대화,아들 사람 때리 대가 전치 나오 어쩌 애 맞 경찰 신고 상관없 그냥 치료비 주 조용히 처리 그렇 없 경찰서 가 잠 깐
협박 대화,길동 기억 괴롭히 죽 딸 소리세 사람 모르 자식 똑같이 되 모르 잡아떼 다 잘못 아이 위험 이 제야 다 잘못 미치 보 자식 잃 고통 느끼 제발 살리 아이 잘못 없 아 자식 잃 중요 제발 부탁 드리
협박 대화,지금 딸 데리 딸 무사 아직 무사 시키 하 죽이지 시키 하 제 발요 돈 준비 원하 장소 가지 와 그 렇 그 럴 혹시나 생각 딸 죽 제발 요 아무것 하 시키 하 잘 생각 돈 준비 기다리 다시 전화 딸 목소리 들려주 안 되 소리 말 끊 딸 비명 소리 듣
갈취 대화,헤이 형 보아 관광객 같 처음 없 안 되 받 카를 빵 받 슈슈 악 졸 네버랜드 오 환영 찌르 전 가방 털 도와주 사람 없 알 윽 알 살리 그 러 방금 손가락 날아가 생각 앞 로 밥 먹 되 불편 다 주머니 털 새끼 크윽 음 이 돈 냄새 달달 차비 정도 남기 쿨 하 감사 교통 카드 방금 말 취소 괜히 친절 베풀 필요 없 알뜰 입 재킷 목걸이 쌔삥 이 센스 좋 내놓 꺼지 다음 더 가지 와 환영
협박 대화,너무 맘 들 아 네 연락처 좀 여쭈 되 연락처 좀 남자 친구 있 번호 안 주 죽이 드리
기타 괴롭힘 대화,잠 깐 매일 왜 이러 전 하 말 없 좋 관심 없 오 만나 제발 이러 말 전 남자 친구 있 결혼 데이트 이 만나 스타일
기타 괴롭힘 대화,선생 음주 운전 측정 있 고생 많 후 불 모르 아직 신입 서장 친구 오늘 좋 자리 있 한잔 아 그렇 후 불 말귀 안 통하 젊 친구 그렇 원리 원칙 로 하 먼저 골 가 있 왜 그러 이렇 때 눈치껏 보내주 짓 서장 친구 아주 무섭 모르 일 하
직장 내 괴롭힘 대화,김사원 오늘 부르 아나 잘 모르 하 아 김 사원 말 아무리 평사원 무능 정도 있 열심히 하 말 듣 부르 아 대리 되 크 흠 친구 많 갑자기 말 하 없 김 사원 친 구 들이 다 반반 슬슬 장가 듣 소개 있 대리 친구 다 연인 있 김 사원 쓸모 없 이렇 일 상사 비위 못 맞추 하 회사 나오 그냥 시집가 애 나 낳 밥 차리 대리 말씀 너무 지 나치
직장 내 괴롭힘 대화,아직 인턴 이 아이디어 아주 좋 회 발표 되 정말 감사 아직 인턴 발표 직접 하 아무래도 전달 잘 되 아 이디 직접 발표 더 숙련 되 이번 발표 하 아이디어 알 다 알 나중 통과 되 그때 참여 하 대신 인턴 점수 아주 제대로 매기
직장 내 괴롭힘 대화,지 민 하 문서 작업 마무리 이번 주말 별 없 왜 요 등산 가지 등산 생각 주말 친구 결혼식 에헤이 사람 다 팀워크 꼭 그렇 이번 빠지 정말 아웃 아웃 알
직장 내 괴롭힘 대화,과장 이번 휴가 가 오 되 휴가 쉬 오 쉬 직원 이번 다 나가 오 지금 못 나가 그만큼 일 잘 하 좀 기다리 저번 이러 안 보내 김 대 리 영영 나가 담 부 짓
갈취 대화,하 애 선배 왜 돈 모으 오 그러 못 모으 주머니 있 다 내놓 없 지금 피시방 가 길 되 다 내놓 선배 진짜 이러 에
갈취 대화,가게 오늘 부모 없 안 계시 오 오 전 보 금고 열 주머니 사정 안 되 돈 조금 사라지 부모 가계부 쓰 시 다 알 안 같 미안 금고 라면 열 돈 가져가 하 그냥 보 친구 못 믿 쓰 진짜 하 돈 가져가 부모 화나시 알 돈 진 짜 많 가져가 티 안 너무 없 원 가져갈 되 안 되 뭉텅이 적 돈 안 가져가 좋 잘 있 부모 그냥 쓰 하 다 이해 고맙 잘 있 내놓 진 짜 없 안 되 제발 돌리
협박 대화,일 오 보 지난주 때리 뿅뿅 다니 애 형 동생 왜 때리 때리 뒤지 똑같이 하 잘못 이제 안 그 럴 좆 씹쌔 끼이 배트 좀 맞 형 살리 엎드리 개새끼 형 진짜 잘못
기타 괴롭힘 대화,사장 밥 머리카락 나오 실수 조리 들어가 같 어 이렇 싸구려 안 손 말 심하 제대로 만들 아무리 말 그렇 하 환불 돈 돌려주 곤란 빨리 하주
기타 괴롭힘 대화,아저씨 몸 불편 그냥 집 얌전히 계세 생각 없 나오 피해 주 아 말 왜 맞 도움 받 원 하 귀찮 기분 나쁘 미 안 하 나쁘 사람 알 미안하 장애인 장애인 그냥 집 처박히 나오
협박 대화,불만 있 새끼 눈깔 그렇 뜨 다니 죽 다르 쳐다보 왜 바보 보이 진짜 죽 그냥 가 길 갈 가 만 더 눈 떠보 미안 잘못 눈 거슬리 칼 찌르 죽이 앞 조심
갈취 대화,오랜만 잘 지내 허 정말 오랜만 나 잘 지내 잘 지내 빌리 있 돈 있 요새 잘 나가 잔 사실 아빠 사고 당하 병원비 모자라 어떡 진짜 돈 없 친구 사이 옛날 눈감 기억 안 일 꺼내 미안 주 돈 없 가만히 못 넘어가 진짜 미안 돈 정말 없
기타 괴롭힘 대화,다 고치 들어오 진 짜 어쩐지 저렇 예쁘 없 소리 얼굴 안 안 고치 중학교 고등학교 졸업 사진 보 그렇 고치 진짜 용 아주 그냥 사 빠지 놀 살 빠지 나오 얼굴 개사기 치 사진 뿌리 다니 어머 소리 알 생각
직장 내 괴롭힘 대화,하 퇴근 하 내일 오 마무리 내일 일 제대로 못 월급 또박또박 챙기 너무 이기 정말 오 책임자 시키 알 잘 하 못 가 물 보 앞 잘 맨날 앞 앞 하유 가 야근 직원 커피 사 퇴근 하여튼 알
갈취 대화,서 저 가지 없 필요 없 통장 있 돈 송금 통장 돈 없 제발 살리 나쁘 사람 그냥 돈 뺏 돈 얼른 안 내놓 제발
협박 대화,그렇 죽 엄마 죽이 갑자기 소리 마음 먹 죽이 있 잘 모르 항상 먹 아침밥 쥐약 섞 있 매일 일어나 싫 잘 베개 얼굴 누르 그냥 계속 자 만들 있 엄마 그냥 하소연 장 난치 장난 엄마 차 로 학교 태우 주 들 이 받 앞 말 안 하 제발 더 엄마 죽 하 진짜 조용히 밥 먹
협박 대화,만나 경고 언니 마음 만나 말 언니 상관 지금 세상 편하 행복 살 전 남자 친구 처맞 아직 정신 못 차리 얘기 나오 언니 똑같이 처 맞 머리 피 나오 온몸 멍 들 하 하 네까 안 무섭 더 눈 알짱대 그냥 그대로 뒤지 알 언니 언니 지금 스스로 무섭 생각 그냥 웃기 더 충고 앞 말 싫 뜻 알 혀 뽑 이제야 본색 드러내 말 못 하 소문 못 듣 해 다시 말 못 하 얼굴 못 들 다니 하 꺼지 언니 끄 지 제발
갈취 대화,돈 주 눈치 채 돈 없 주머니 튀어나오 꺼내 바보 아나 진짜 바보 같 드리 밖 없 없 날 멍청이 보 다 드리
기타 괴롭힘 대화,무겁 무겁기 개뿔 남자 새끼 못 들 남자 다 힘 세 있 나이 어 리 놈 새끼 말대답 어른 한숨 쉬 가정 교육 받 부모 건들 낳 미역국 먹 어미 아비 그러
갈취 대화,시간 있 없 없 오 뒤지 돈 없 친구 없 맞 그냥 주 래 에 팟 하 되 돈 없 물건 때우 얼마 전 사 돌려주 미치 맞 전 꺼지 안 제발 돌려주
기타 괴롭힘 대화,대신 청소당번 저번 부탁 때 사정 있 지금 그러 그냥 하 하 그렇 말 많 별것 가지 오늘 집 일 있 일찍 가보 되 미안 바쁘 바쁘 되 사람 기분 나쁘 말 어쩌 왕 되 미안 하
직장 내 괴롭힘 대화,때리 후임 때리 있 이렇 때리 고 오 헉 이병 홍길동 정말 못 때리 요즘 애 무섭 눈빛 눈빛 말 이 다 치 안 때리 빨리 때리 상병 김철수 안 때리 오늘 대신 맞 알
기타 괴롭힘 대화,머라 맘 안 들 멀 진짜 멀 눈 깔 눈 맘 안 들 아 아휴 말 머 미안 미안 머 미안 미안
기타 괴롭힘 대화,아저씨 사람 그냥 가요 말 못 하 장애인이 장애인 장애인 사람 그냥 가 되 집 짜증 죽 미안합니
갈취 대화,노트북 오늘 쓰 과제 다 끝나 당장 안 쓰 같 진짜 다행 다행 노트북 쓸 지금 알 오 늘 쓰 노트북 오늘 안 쓰 다 쓰 빌리 있 냐 혹 여 쓰 되 상황 오 있 이렇 사 굴 가 갖 팔 쓰 주 모르 가져가
기타 괴롭힘 대화,진짜 이렇 죽이 마음 들 하루 이틀 제발 이러 저러 치 더 때리 주먹 아주 어루만지 진짜 새끼 손 이기 있 랑 손 싸우 더 세 거 크크 걱정 마 발 상대 이기
직장 내 괴롭힘 대화,강대리 진짜 재수 없 꼬박꼬박 말대꾸 사람 치 다 보 동기 다 착 강대리 사람 못나 한숨 쉬 싫어하 동기 재수 없 잘나 하 진짜 맞 맞 입사 때 싫 그리 잘못 태어나 거 잘못 진짜 웃기 그냥 태초 잘못 재수탱이 사회 방생 안 되 정말 집 찌끄러지 그냥
직장 내 괴롭힘 대화,오늘 되 퇴근 전 말 퇴근 남 양 안 같 요새 젊 애 야 무 예전 상사 시키 시키 까 까 깠 요새 애 또박또박 말대꾸 오늘 되 묻 묻 하 지 그렇 속뜻 못 알아먹 어쩌 데리 죄 죄송 되 오늘 정리 내일 아침 책상 올리 내일 보 들어가 때 가져가 하 말 대답 없 하 하
직장 내 괴롭힘 대화,인사 팀 최 대리 임신 퇴사 임신 퇴사 진짜 징 이렇 여자 뽑 안 되 지희 임신 안 하 왜 그 지희 프로페셔널 사람 신혼 불안 아무튼 임신 계획 있 없 지희 너무 사 부분 임신 그만두 하 되 냐 맞 사 임신 말 아직 잘 모르 지희 지금 커리 아깝 임신 진짜 안 하 약속
갈취 대화,어서 오 안녕 필요 손 손 오 늘 잃 없 생각 잘 하 신고 무섭 시시티브이 무섭 안 오 살 조용히 돈 꺼내 봉지 넣 여 살리 유감 아르바이트 고맙 생각 잘 하 살
기타 괴롭힘 대화,오 갑자기 냄새 나 그러 냄새 쓰레기 냄새나 같 씻 오 씻 냄새 나 어떡하 왜 이 래 어머 쓰레기 말 하 진짜 쓰레기 말 해 왜 안 들리 환청 듣 보다 쓰레기 말 못 하 그만 해제 발
갈취 대화,아버지 땅 상속 받 하 마 형 다 하 사사건건 시비 형 하 있 잔말 말 알 평생 이렇 살 이해 안 되 아버지 땅 당연히 자격 없 잘나 자격 운운 지금 한마디 더 못 받 알 알 상황 보
기타 괴롭힘 대화,눈 안 보이 앞 안 보이 장 님 따르 오 눈 안 보이 따라가 알 따라오 소리 듣 따라오 미안 눈 안 보이 괴롭히 지금 괴롭히 보이 놀 주 노력 처신 알 간수
협박 대화,지금 이야기 하 사람 없 곳 가 전화 받 경고 경찰 신고 주위 사람 알리 애 배때기 칼 쑤시 아이 있 애 있 묻 애 모르 아줌마 지금 아이 학교 가 전화 오 아줌마 원하 단순히 돈 돈 돈 필요 하 돈 있 최대한 아이 있 아이 있 창고 창고 아이 있 알 자꾸 위치 묻 돈 준비
갈취 대화,김대 맞 맞 불법 야동 사이트 접속 그날 영상 보 그렇 사이트 운영 전데 보 때 개인 정보 동의 개인 정보 가지 있 원하 요즘 사이트 접속자 없 돈 안 벌리 보내 계좌 보내 경찰 말 알 너무 심하 보내 알 계좌 번호 주세
직장 내 괴롭힘 대화,밥 먹 가요 좋 오늘 불고기 어떻 좋 다 가 네 다 얼른 가요 끝나 하 얘기 있 저번 계속 그러 갈 가요
직장 내 괴롭힘 대화,새로 들어오 신입 사원 고졸 검정 고시 진짜 말 안 되 들어오 거래 전무 낙하산 하 그치 낙하산 아까 프린 트 제대로 못 안녕 하 신입 사원 김 디귿 트입 고졸 사원 김디귿 어차피 버티 대충대충 해 넵
기타 괴롭힘 대화,새끼 데리 놀 찐 데리 놀 따라오 일 너무 말 놀까 하 수업 금방 끝나 가위바위보 하 뺨 맞 하 안 하 너무 폭력 잖 선택 없 닥치 이기 얼굴 대 피하 배 싫
기타 괴롭힘 대화,지금 울 흑흑 나이 갠 우냐 흑흑 지질 울 마 개 지질 보이 욕하 마 집 가 엄마 붙 말조심
직장 내 괴롭힘 대화,주말 약속 없 왜 요 저번 회사 보 지인 있 짓 이상형 소개팅 카페 마주치 기억 별로 내키 내키 키 작 뚱뚱 돈 많이 벌 꼭 외형 소개팅 하 만나보 벌써 친구 말 의사 안 물어보 말씀 전 하 싫 하 싫 회사 아주 다니 싫 선임 말 그냥 알 하 되 꼬박꼬박 싫 말대답
직장 내 괴롭힘 대화,부장 휴가 쓰 안 안 쓰 있 알 그냥 안 회사 장난 보이 예전 맘 안 들 휴가 있 하 서 막 쓰 되 부장 허락 받 이번 꼭 쓰 말귀 못 알 먹 못 쓰 일 있 안 되 그렇 회사 때려치우 서 임 되 하 조용히 하 또박또박 말 꾸
협박 대화,몽둥이 두들기 패 이러 최 교수 너무 많 과제 주 학생 진정 수업 만들 아 제발 이러 마 학점 거지 주 살리 자식 오늘 제삿날 제발 부탁 앞 안 그렇 제발
갈취 대화,이쁘 어제 아빠 사 주 한번 하 안 비싸 가지 번 하 알 괜찮 빌리 저번 빌리 가방 안 주 안 준대 쓰 줄 알 어
기타 괴롭힘 대화,고객 계산 드시 하 지금 도둑 취급 계산 드시 계산 안 나가 때 계산 그렇 한데 끝 도둑 취급 돈 안 내 가 직원 교육 시키 고객 도둑 취급 그렇 의도 정말 정 떨어 사람 모욕 정도 있 살 살 도둑 취급 기분 나쁘 명예 훼손 고소 해
직장 내 괴롭힘 대화,민지 이번 주말 하 남자 친구 만나 애랑 서 좀 보 하 아들 별로 마음 안 들 보 네 오늘 더 가 그냥 더 하 알 송 하
기타 괴롭힘 대화,이번 부모 사 부럽 우 부럽 없 으 응 집 가난 아빠 없 알 냐 식구 생각 멀리 일 가 없 엄마 아빠 그냥 가족 버리 도망가 연락 없 버리 아빠 없 애
기타 괴롭힘 대화,리포트 내일 쓰 말 안 듣 나체 사진 인터넷 뿌리 사진 있 너 나 알 없 시키 하 되 미치 사진 사람 다 보 되 협박죄 불법 촬영 고소
직장 내 괴롭힘 대화,박 사원 오늘 해 오늘 업무 보고 서류 정리 예정 별거 없 하루 같 시간 하 싫 바쁘 요즘 신입 선배 하 말 말 많 그치 왜 그 박사원 메일 보내주 오늘 점심 먹 전 하 점심 전 같 점심 먹 끝내 되
협박 대화,이 렇 놓 가방 이리 안 죽이 진 드리 드리 되 빨리 내놓 좋 말 있 그만 놓 주 드리 나 들 마 트 옆 살 제발 살리 신고 알 생각 알 알 신고 안 하 살리 주 지켜보 꺼지
기타 괴롭힘 대화,선생 남편 살리 남편분 가망 없 선생 선생 밖 없 흐흐흑 이러 곤란 남편분 의식 돌아오 장담 못 수술 살 하 이러 곤란 남편 죽이 책임지 남편분 이미 사고 의식 없 상태 오 생사 장담 못 하 말씀 드리 그 렇 분명 손 잡 죽이 진정 살인자 살인자
갈취 대화,이리 오 보 젓 밖 더 있 그러 가지 다 꺼내 돈 없 뒤지 나오 당 대 진 짜 다예 옷 다 벗 보 그러
